,precision,recall,f1-score,support
Bacterial Spot,0.8043478260869565,0.74,0.7708333333333334,50.0
Cercospora Leaf Spot,0.8979591836734694,0.9166666666666666,0.9072164948453608,48.0
Common Rust,0.9787234042553191,0.9583333333333334,0.968421052631579,48.0
Early Blight,0.9795918367346939,0.9795918367346939,0.9795918367346939,49.0
Healthy,0.9743589743589743,0.7916666666666666,0.8735632183908046,48.0
Late Blight,0.94,0.9591836734693877,0.9494949494949495,49.0
Northern Leaf Blight,0.8958333333333334,0.9148936170212766,0.9052631578947369,47.0
Septoria Leaf Spot,0.8166666666666667,0.9607843137254902,0.8828828828828829,51.0
Yellow Leaf Curl Virus,0.9444444444444444,0.9807692307692307,0.9622641509433962,52.0
accuracy,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9117647058823529
macro avg,0.9146584077282065,0.9113210375985273,0.9110590085724153,442.0
weighted avg,0.9140105521989551,0.9117647058823529,0.9109517811101973,442.0
