Report for convnext (augmented) on plantdoc:

                        precision    recall  f1-score     support
Bacterial Spot           0.804348  0.740000  0.770833   50.000000
Cercospora Leaf Spot     0.897959  0.916667  0.907216   48.000000
Common Rust              0.978723  0.958333  0.968421   48.000000
Early Blight             0.979592  0.979592  0.979592   49.000000
Healthy                  0.974359  0.791667  0.873563   48.000000
Late Blight              0.940000  0.959184  0.949495   49.000000
Northern Leaf Blight     0.895833  0.914894  0.905263   47.000000
Septoria Leaf Spot       0.816667  0.960784  0.882883   51.000000
Yellow Leaf Curl Virus   0.944444  0.980769  0.962264   52.000000
accuracy                 0.911765  0.911765  0.911765    0.911765
macro avg                0.914658  0.911321  0.911059  442.000000
weighted avg             0.914011  0.911765  0.910952  442.000000
