Report for convnext (augmented) on plantvillage:

                        precision    recall  f1-score    support
Bacterial Spot           1.000000  1.000000  1.000000   43.00000
Cercospora Leaf Spot     0.975610  0.975610  0.975610   41.00000
Common Rust              1.000000  1.000000  1.000000   48.00000
Early Blight             1.000000  1.000000  1.000000   48.00000
Healthy                  1.000000  1.000000  1.000000   96.00000
Late Blight              1.000000  1.000000  1.000000   47.00000
Northern Leaf Blight     0.979167  0.979167  0.979167   48.00000
Septoria Leaf Spot       1.000000  1.000000  1.000000   44.00000
Yellow Leaf Curl Virus   1.000000  1.000000  1.000000   49.00000
accuracy                 0.995690  0.995690  0.995690    0.99569
macro avg                0.994975  0.994975  0.994975  464.00000
weighted avg             0.995690  0.995690  0.995690  464.00000
