Classification Report for convnext (base_model) on plantdoc:

                        precision    recall  f1-score     support
Bacterial Spot           0.000000  0.000000  0.000000   50.000000
Cercospora Leaf Spot     0.400000  0.833333  0.540541   48.000000
Common Rust              0.608696  0.291667  0.394366   48.000000
Early Blight             0.355556  0.653061  0.460432   49.000000
Healthy                  0.435897  0.354167  0.390805   48.000000
Late Blight              0.417582  0.775510  0.542857   49.000000
Northern Leaf Blight     0.500000  0.170213  0.253968   47.000000
Septoria Leaf Spot       0.346667  0.509804  0.412698   51.000000
Yellow Leaf Curl Virus   1.000000  0.153846  0.266667   52.000000
accuracy                 0.414027  0.414027  0.414027    0.414027
macro avg                0.451600  0.415733  0.362481  442.000000
weighted avg             0.453403  0.414027  0.361190  442.000000
