,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.4,0.8333333333333334,0.5405405405405406,48.0
Common Rust,0.6086956521739131,0.2916666666666667,0.39436619718309857,48.0
Early Blight,0.35555555555555557,0.6530612244897959,0.460431654676259,49.0
Healthy,0.4358974358974359,0.3541666666666667,0.39080459770114945,48.0
Late Blight,0.4175824175824176,0.7755102040816326,0.5428571428571428,49.0
Northern Leaf Blight,0.5,0.1702127659574468,0.25396825396825395,47.0
Septoria Leaf Spot,0.3466666666666667,0.5098039215686274,0.4126984126984127,51.0
Yellow Leaf Curl Virus,1.0,0.15384615384615385,0.26666666666666666,52.0
accuracy,0.41402714932126694,0.41402714932126694,0.41402714932126694,0.41402714932126694
macro avg,0.4515997475417765,0.415733437401147,0.36248149625461373,442.0
weighted avg,0.4534032328307363,0.41402714932126694,0.3611902462224439,442.0
