,precision,recall,f1-score,support
Bacterial Spot,1.0,1.0,1.0,43.0
Cercospora Leaf Spot,1.0,0.975609756097561,0.9876543209876543,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,1.0,1.0,1.0,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,1.0,1.0,1.0,47.0
Northern Leaf Blight,0.9795918367346939,1.0,0.9896907216494846,48.0
Septoria Leaf Spot,1.0,1.0,1.0,44.0
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0
accuracy,0.9978448275862069,0.9978448275862069,0.9978448275862069,0.9978448275862069
macro avg,0.997732426303855,0.9972899728997291,0.9974827825152377,464.0
weighted avg,0.9978888106966924,0.9978448275862069,0.997842633188942,464.0
