,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.3695652173913043,0.7083333333333334,0.4857142857142857,48.0
Common Rust,0.6363636363636364,0.2916666666666667,0.4,48.0
Early Blight,0.36585365853658536,0.6122448979591837,0.4580152671755725,49.0
Healthy,0.36363636363636365,0.5833333333333334,0.448,48.0
Late Blight,0.43037974683544306,0.6938775510204082,0.53125,49.0
Northern Leaf Blight,0.5,0.14893617021276595,0.22950819672131148,47.0
Septoria Leaf Spot,0.32857142857142857,0.45098039215686275,0.38016528925619836,51.0
Yellow Leaf Curl Virus,1.0,0.11538461538461539,0.20689655172413793,52.0
accuracy,0.39819004524886875,0.39819004524886875,0.39819004524886875,0.39819004524886875
macro avg,0.44381889459275126,0.4005285511185744,0.34883884339905624,442.0
weighted avg,0.4457278510297621,0.39819004524886875,0.347118143650479,442.0
