                        precision    recall  f1-score     support
Bacterial Spot           1.000000  0.790698  0.883117   43.000000
Cercospora Leaf Spot     1.000000  0.951220  0.975000   41.000000
Common Rust              1.000000  1.000000  1.000000   48.000000
Early Blight             1.000000  0.958333  0.978723   48.000000
Healthy                  0.755906  1.000000  0.860987   96.000000
Late Blight              1.000000  0.978723  0.989247   47.000000
Northern Leaf Blight     0.978261  0.937500  0.957447   48.000000
Septoria Leaf Spot       1.000000  0.886364  0.939759   44.000000
Yellow Leaf Curl Virus   1.000000  0.795918  0.886364   49.000000
accuracy                 0.931034  0.931034  0.931034    0.931034
macro avg                0.970463  0.922084  0.941183  464.000000
weighted avg             0.947249  0.931034  0.932793  464.000000
