,precision,recall,f1-score,support
Bacterial Spot,0.7692307692307693,0.6,0.6741573033707865,50.0
Cercospora Leaf Spot,0.5125,0.8541666666666666,0.640625,48.0
Common Rust,0.6111111111111112,0.4583333333333333,0.5238095238095238,48.0
Early Blight,0.5789473684210527,0.673469387755102,0.6226415094339622,49.0
Healthy,0.6,0.625,0.6122448979591837,48.0
Late Blight,0.5873015873015873,0.7551020408163265,0.6607142857142857,49.0
Northern Leaf Blight,0.6666666666666666,0.3829787234042553,0.4864864864864865,47.0
Septoria Leaf Spot,0.6071428571428571,0.6666666666666666,0.6355140186915887,51.0
Yellow Leaf Curl Virus,0.7647058823529411,0.5,0.6046511627906976,52.0
accuracy,0.6131221719457014,0.6131221719457014,0.6131221719457014,0.6131221719457014
macro avg,0.6330673602474428,0.6128574242935945,0.606760465361835,442.0
weighted avg,0.6343968225231972,0.6131221719457014,0.6076716100881304,442.0
