,precision,recall,f1-score,support
Bacterial Spot,0.9148936170212766,1.0,0.9555555555555556,43.0
Cercospora Leaf Spot,1.0,0.7804878048780488,0.8767123287671232,41.0
Common Rust,0.94,0.9791666666666666,0.9591836734693877,48.0
Early Blight,0.9411764705882353,1.0,0.9696969696969697,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,1.0,1.0,1.0,47.0
Northern Leaf Blight,0.8888888888888888,1.0,0.9411764705882353,48.0
Septoria Leaf Spot,0.9736842105263158,0.8409090909090909,0.9024390243902439,44.0
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0
accuracy,0.9633620689655172,0.9633620689655172,0.9633620689655172,0.9633620689655172
macro avg,0.9620714652249686,0.9556181736059786,0.9560848913852795,464.0
weighted avg,0.9658311811421868,0.9633620689655172,0.962293432977871,464.0
