                        precision    recall  f1-score     support
Bacterial Spot           0.914894  1.000000  0.955556   43.000000
Cercospora Leaf Spot     1.000000  0.780488  0.876712   41.000000
Common Rust              0.940000  0.979167  0.959184   48.000000
Early Blight             0.941176  1.000000  0.969697   48.000000
Healthy                  1.000000  1.000000  1.000000   96.000000
Late Blight              1.000000  1.000000  1.000000   47.000000
Northern Leaf Blight     0.888889  1.000000  0.941176   48.000000
Septoria Leaf Spot       0.973684  0.840909  0.902439   44.000000
Yellow Leaf Curl Virus   1.000000  1.000000  1.000000   49.000000
accuracy                 0.963362  0.963362  0.963362    0.963362
macro avg                0.962071  0.955618  0.956085  464.000000
weighted avg             0.965831  0.963362  0.962293  464.000000
