,precision,recall,f1-score,support
Bacterial Spot,0.9767441860465116,0.9767441860465116,0.9767441860465116,43.0
Cercospora Leaf Spot,1.0,0.7804878048780488,0.8767123287671232,41.0
Common Rust,0.9795918367346939,1.0,0.9896907216494846,48.0
Early Blight,0.9166666666666666,0.9166666666666666,0.9166666666666666,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,0.8888888888888888,0.851063829787234,0.8695652173913043,47.0
Northern Leaf Blight,0.8392857142857143,0.9791666666666666,0.9038461538461539,48.0
Septoria Leaf Spot,0.875,0.9545454545454546,0.9130434782608695,44.0
Yellow Leaf Curl Virus,1.0,0.9591836734693877,0.9791666666666666,49.0
accuracy,0.9439655172413793,0.9439655172413793,0.9439655172413793,0.9439655172413793
macro avg,0.9417974769580528,0.9353175868955523,0.9361594910327534,464.0
weighted avg,0.9473790953162874,0.9439655172413793,0.9436586647215063,464.0
