,precision,recall,f1-score,support
Bacterial Spot,1.0,0.02,0.0392156862745098,50.0
Cercospora Leaf Spot,0.4111111111111111,0.7708333333333334,0.5362318840579711,48.0
Common Rust,0.5833333333333334,0.14583333333333334,0.23333333333333334,48.0
Early Blight,0.32941176470588235,0.5714285714285714,0.417910447761194,49.0
Healthy,0.27049180327868855,0.6875,0.38823529411764707,48.0
Late Blight,0.4925373134328358,0.673469387755102,0.5689655172413793,49.0
Northern Leaf Blight,0.3,0.1276595744680851,0.1791044776119403,47.0
Septoria Leaf Spot,0.4,0.23529411764705882,0.2962962962962963,51.0
Yellow Leaf Curl Virus,0.8,0.23076923076923078,0.3582089552238806,52.0
accuracy,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056
macro avg,0.5096539250957612,0.384754172081635,0.3352779879909058,442.0
weighted avg,0.5137838115825963,0.38235294117647056,0.3349502678321162,442.0
