🔹 Inference Results - 20250331-155928
Dataset: PlantDoc_Test
Total Inference Time: 5.8857 seconds
Average Inference Time per Batch: 0.0190 seconds
                        precision    recall  f1-score    support        Timestamp
Bacterial Spot           1.000000  0.020000  0.039216   50.00000  20250331-155928
Cercospora Leaf Spot     0.411111  0.770833  0.536232   48.00000  20250331-155928
Common Rust              0.583333  0.145833  0.233333   48.00000  20250331-155928
Early Blight             0.329412  0.571429  0.417910   49.00000  20250331-155928
Healthy                  0.268293  0.687500  0.385965   48.00000  20250331-155928
Late Blight              0.492537  0.673469  0.568966   49.00000  20250331-155928
Northern Leaf Blight     0.300000  0.125000  0.176471   48.00000  20250331-155928
Septoria Leaf Spot       0.400000  0.235294  0.296296   51.00000  20250331-155928
Yellow Leaf Curl Virus   0.800000  0.230769  0.358209   52.00000  20250331-155928
accuracy                 0.381490  0.381490  0.381490    0.38149  20250331-155928
macro avg                0.509410  0.384459  0.334733  443.00000  20250331-155928
weighted avg             0.513063  0.381490  0.334067  443.00000  20250331-155928
