,precision,recall,f1-score,support
Bacterial Spot,1.0,1.0,1.0,43.0
Cercospora Leaf Spot,1.0,0.9512195121951219,0.975,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,1.0,1.0,1.0,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,1.0,1.0,1.0,47.0
Northern Leaf Blight,0.96,1.0,0.9795918367346939,48.0
Septoria Leaf Spot,1.0,1.0,1.0,44.0
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0
accuracy,0.9956896551724138,0.9956896551724138,0.9956896551724138,0.9956896551724138
macro avg,0.9955555555555556,0.994579945799458,0.9949546485260772,464.0
weighted avg,0.9958620689655172,0.9956896551724138,0.9956797589725546,464.0
