Report for efficientnetv2 (base_model) on plantvillage:

                        precision   recall  f1-score    support
Bacterial Spot           1.000000  1.00000  1.000000   43.00000
Cercospora Leaf Spot     1.000000  0.95122  0.975000   41.00000
Common Rust              1.000000  1.00000  1.000000   48.00000
Early Blight             1.000000  1.00000  1.000000   48.00000
Healthy                  1.000000  1.00000  1.000000   96.00000
Late Blight              1.000000  1.00000  1.000000   47.00000
Northern Leaf Blight     0.960000  1.00000  0.979592   48.00000
Septoria Leaf Spot       1.000000  1.00000  1.000000   44.00000
Yellow Leaf Curl Virus   1.000000  1.00000  1.000000   49.00000
accuracy                 0.995690  0.99569  0.995690    0.99569
macro avg                0.995556  0.99458  0.994955  464.00000
weighted avg             0.995862  0.99569  0.995680  464.00000
