,precision,recall,f1-score,support,Timestamp
Bacterial Spot,1.0,1.0,1.0,43.0,20250331-155922
Cercospora Leaf Spot,1.0,0.9512195121951219,0.975,41.0,20250331-155922
Common Rust,1.0,1.0,1.0,48.0,20250331-155922
Early Blight,1.0,1.0,1.0,48.0,20250331-155922
Healthy,1.0,1.0,1.0,96.0,20250331-155922
Late Blight,1.0,1.0,1.0,47.0,20250331-155922
Northern Leaf Blight,0.96,1.0,0.9795918367346939,48.0,20250331-155922
Septoria Leaf Spot,1.0,1.0,1.0,44.0,20250331-155922
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0,20250331-155922
accuracy,0.9956896551724138,0.9956896551724138,0.9956896551724138,0.9956896551724138,20250331-155922
macro avg,0.9955555555555556,0.994579945799458,0.9949546485260772,464.0,20250331-155922
weighted avg,0.9958620689655172,0.9956896551724138,0.9956797589725546,464.0,20250331-155922
