🔹 Inference Results - 20250331-155922
Dataset: PlantVillage_Test
Total Inference Time: 4.4539 seconds
Average Inference Time per Batch: 0.0344 seconds
                        precision   recall  f1-score    support        Timestamp
Bacterial Spot           1.000000  1.00000  1.000000   43.00000  20250331-155922
Cercospora Leaf Spot     1.000000  0.95122  0.975000   41.00000  20250331-155922
Common Rust              1.000000  1.00000  1.000000   48.00000  20250331-155922
Early Blight             1.000000  1.00000  1.000000   48.00000  20250331-155922
Healthy                  1.000000  1.00000  1.000000   96.00000  20250331-155922
Late Blight              1.000000  1.00000  1.000000   47.00000  20250331-155922
Northern Leaf Blight     0.960000  1.00000  0.979592   48.00000  20250331-155922
Septoria Leaf Spot       1.000000  1.00000  1.000000   44.00000  20250331-155922
Yellow Leaf Curl Virus   1.000000  1.00000  1.000000   49.00000  20250331-155922
accuracy                 0.995690  0.99569  0.995690    0.99569  20250331-155922
macro avg                0.995556  0.99458  0.994955  464.00000  20250331-155922
weighted avg             0.995862  0.99569  0.995680  464.00000  20250331-155922
