,precision,recall,f1-score,support
0,1.0,0.020833333333333332,0.04081632653061224,48.0
1,0.3924050632911392,0.775,0.5210084033613446,40.0
2,0.625,0.11904761904761904,0.2,42.0
3,0.35443037974683544,0.5714285714285714,0.4375,49.0
4,0.26126126126126126,0.6744186046511628,0.37662337662337664,43.0
5,0.5,0.717391304347826,0.5892857142857143,46.0
6,0.21428571428571427,0.07894736842105263,0.11538461538461539,38.0
7,0.4,0.2553191489361702,0.3116883116883117,47.0
8,0.8,0.24,0.36923076923076925,50.0
accuracy,0.38213399503722084,0.38213399503722084,0.38213399503722084,0.38213399503722084
macro avg,0.5052647131761057,0.383598438907304,0.32905972412274936,403.0
weighted avg,0.5173458623234042,0.38213399503722084,0.3311029090704112,403.0
