,precision,recall,f1-score,support
Bacterial Spot,1.0,0.02,0.0392156862745098,50.0
Cercospora Leaf Spot,0.37349397590361444,0.6458333333333334,0.4732824427480916,48.0
Common Rust,0.5833333333333334,0.14583333333333334,0.23333333333333334,48.0
Early Blight,0.35526315789473684,0.5510204081632653,0.432,49.0
Healthy,0.2733333333333333,0.8541666666666666,0.41414141414141414,48.0
Late Blight,0.5,0.6326530612244898,0.5585585585585585,49.0
Northern Leaf Blight,0.2631578947368421,0.10638297872340426,0.15151515151515152,47.0
Septoria Leaf Spot,0.42857142857142855,0.23529411764705882,0.3037974683544304,51.0
Yellow Leaf Curl Virus,0.9090909090909091,0.19230769230769232,0.31746031746031744,52.0
accuracy,0.3733031674208145,0.3733031674208145,0.3733031674208145,0.3733031674208145
macro avg,0.5206937814293553,0.3759435101554715,0.32481159693175626,442.0
weighted avg,0.5259137935808084,0.3733031674208145,0.324473570880126,442.0
