Report for efficientnetv2 (hierarchical) on plantdoc:

                        precision    recall  f1-score     support
Bacterial Spot           1.000000  0.020000  0.039216   50.000000
Cercospora Leaf Spot     0.373494  0.645833  0.473282   48.000000
Common Rust              0.583333  0.145833  0.233333   48.000000
Early Blight             0.355263  0.551020  0.432000   49.000000
Healthy                  0.273333  0.854167  0.414141   48.000000
Late Blight              0.500000  0.632653  0.558559   49.000000
Northern Leaf Blight     0.263158  0.106383  0.151515   47.000000
Septoria Leaf Spot       0.428571  0.235294  0.303797   51.000000
Yellow Leaf Curl Virus   0.909091  0.192308  0.317460   52.000000
accuracy                 0.373303  0.373303  0.373303    0.373303
macro avg                0.520694  0.375944  0.324812  442.000000
weighted avg             0.525914  0.373303  0.324474  442.000000
