,precision,recall,f1-score,support
Bacterial Spot,1.0,0.7906976744186046,0.8831168831168831,43.0
Cercospora Leaf Spot,1.0,0.926829268292683,0.9620253164556962,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,1.0,0.9583333333333334,0.9787234042553191,48.0
Healthy,0.7559055118110236,1.0,0.8609865470852018,96.0
Late Blight,1.0,0.9787234042553191,0.989247311827957,47.0
Northern Leaf Blight,0.9574468085106383,0.9375,0.9473684210526315,48.0
Septoria Leaf Spot,1.0,0.8863636363636364,0.9397590361445783,44.0
Yellow Leaf Curl Virus,1.0,0.7959183673469388,0.8863636363636364,49.0
accuracy,0.9288793103448276,0.9288793103448276,0.9288793103448276,0.9288793103448276
macro avg,0.9681502578135179,0.9193739648900573,0.9386211729224337,464.0
weighted avg,0.9450956378068296,0.9288793103448276,0.9306034903270778,464.0
