,precision,recall,f1-score,support
Bacterial Spot,0.7352941176470589,0.5,0.5952380952380952,50.0
Cercospora Leaf Spot,0.47560975609756095,0.8125,0.6,48.0
Common Rust,0.5806451612903226,0.375,0.45569620253164556,48.0
Early Blight,0.64,0.6530612244897959,0.6464646464646465,49.0
Healthy,0.4375,0.7291666666666666,0.546875,48.0
Late Blight,0.5901639344262295,0.7346938775510204,0.6545454545454545,49.0
Northern Leaf Blight,0.5,0.2553191489361702,0.3380281690140845,47.0
Septoria Leaf Spot,0.6222222222222222,0.5490196078431373,0.5833333333333334,51.0
Yellow Leaf Curl Virus,0.8571428571428571,0.5769230769230769,0.6896551724137931,52.0
accuracy,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769
macro avg,0.6042864498695835,0.5761870669344297,0.5677595637267836,442.0
weighted avg,0.6075740647253812,0.5769230769230769,0.5699869012264659,442.0
