,precision,recall,f1-score,support
Bacterial Spot,0.6071428571428571,0.68,0.6415094339622641,50.0
Cercospora Leaf Spot,0.7450980392156863,0.7916666666666666,0.7676767676767676,48.0
Common Rust,0.6744186046511628,0.6041666666666666,0.6373626373626373,48.0
Early Blight,0.7142857142857143,0.9183673469387755,0.8035714285714286,49.0
Healthy,0.8222222222222222,0.7708333333333334,0.7956989247311828,48.0
Late Blight,0.8055555555555556,0.5918367346938775,0.6823529411764706,49.0
Northern Leaf Blight,0.6888888888888889,0.6458333333333334,0.6666666666666666,48.0
Septoria Leaf Spot,0.7777777777777778,0.8235294117647058,0.8,51.0
Yellow Leaf Curl Virus,0.76,0.7307692307692307,0.7450980392156863,52.0
accuracy,0.7291196388261851,0.7291196388261851,0.7291196388261851,0.7291196388261851
macro avg,0.7328210733044295,0.7285558582407322,0.7266596488181226,443.0
weighted avg,0.7329258780699183,0.7291196388261851,0.7270119721985647,443.0
