,precision,recall,f1-score,support
Bacterial Spot,0.9555555555555556,1.0,0.9772727272727273,43.0
Cercospora Leaf Spot,1.0,0.6829268292682927,0.8115942028985508,41.0
Common Rust,0.8867924528301887,0.9791666666666666,0.9306930693069307,48.0
Early Blight,0.92,0.9583333333333334,0.9387755102040817,48.0
Healthy,1.0,0.9166666666666666,0.9565217391304348,96.0
Late Blight,1.0,0.9574468085106383,0.9782608695652174,47.0
Northern Leaf Blight,0.8392857142857143,0.9791666666666666,0.9038461538461539,48.0
Septoria Leaf Spot,0.8913043478260869,0.9318181818181818,0.9111111111111111,44.0
Yellow Leaf Curl Virus,0.9245283018867925,1.0,0.9607843137254902,49.0
accuracy,0.9353448275862069,0.9353448275862069,0.9353448275862069,0.9353448275862069
macro avg,0.9352740413760378,0.933947239214494,0.9298732996734108,464.0
weighted avg,0.9409912047570105,0.9353448275862069,0.9340277260349928,464.0
