Report for efficientnetv2 (stacking) on plantvillage:

                        precision    recall  f1-score     support
Bacterial Spot           0.955556  1.000000  0.977273   43.000000
Cercospora Leaf Spot     1.000000  0.682927  0.811594   41.000000
Common Rust              0.886792  0.979167  0.930693   48.000000
Early Blight             0.920000  0.958333  0.938776   48.000000
Healthy                  1.000000  0.916667  0.956522   96.000000
Late Blight              1.000000  0.957447  0.978261   47.000000
Northern Leaf Blight     0.839286  0.979167  0.903846   48.000000
Septoria Leaf Spot       0.891304  0.931818  0.911111   44.000000
Yellow Leaf Curl Virus   0.924528  1.000000  0.960784   49.000000
accuracy                 0.935345  0.935345  0.935345    0.935345
macro avg                0.935274  0.933947  0.929873  464.000000
weighted avg             0.940991  0.935345  0.934028  464.000000
