,precision,recall,f1-score,support
Bacterial Spot,0.4634146341463415,0.4418604651162791,0.4523809523809524,43.0
Cercospora Leaf Spot,0.8421052631578947,0.3902439024390244,0.5333333333333333,41.0
Common Rust,0.671875,0.8958333333333334,0.7678571428571429,48.0
Early Blight,0.8461538461538461,0.9166666666666666,0.88,48.0
Healthy,0.9090909090909091,0.8333333333333334,0.8695652173913043,96.0
Late Blight,0.9333333333333333,0.8936170212765957,0.9130434782608695,47.0
Northern Leaf Blight,0.7142857142857143,0.9375,0.8108108108108109,48.0
Septoria Leaf Spot,0.6190476190476191,0.5909090909090909,0.6046511627906976,44.0
Yellow Leaf Curl Virus,0.84,0.8571428571428571,0.8484848484848485,49.0
accuracy,0.7693965517241379,0.7693965517241379,0.7693965517241379,0.7693965517241379
macro avg,0.7599229243572954,0.7507896300241312,0.7422363273677733,464.0
weighted avg,0.7783227007249018,0.7693965517241379,0.7627302208652667,464.0
