,precision,recall,f1-score,support
Bacterial Spot,0.34,0.68,0.4533333333333333,50.0
Cercospora Leaf Spot,0.2972972972972973,0.4583333333333333,0.36065573770491804,48.0
Common Rust,0.28125,0.375,0.32142857142857145,48.0
Early Blight,0.4090909090909091,0.3673469387755102,0.3870967741935484,49.0
Healthy,0.40816326530612246,0.4166666666666667,0.41237113402061853,48.0
Late Blight,0.2909090909090909,0.32653061224489793,0.3076923076923077,49.0
Northern Leaf Blight,0.13043478260869565,0.06382978723404255,0.08571428571428572,47.0
Septoria Leaf Spot,0.75,0.11764705882352941,0.2033898305084746,51.0
Yellow Leaf Curl Virus,0.2,0.09615384615384616,0.12987012987012986,52.0
accuracy,0.3212669683257919,0.3212669683257919,0.3212669683257919,0.3212669683257919
macro avg,0.3452383716902351,0.3223898048035363,0.2957280116073542,442.0
weighted avg,0.34715507191758566,0.3212669683257919,0.29502238119507057,442.0
