                        precision    recall  f1-score     support
Bacterial Spot           0.340000  0.680000  0.453333   50.000000
Cercospora Leaf Spot     0.297297  0.458333  0.360656   48.000000
Common Rust              0.281250  0.375000  0.321429   48.000000
Early Blight             0.409091  0.367347  0.387097   49.000000
Healthy                  0.408163  0.416667  0.412371   48.000000
Late Blight              0.290909  0.326531  0.307692   49.000000
Northern Leaf Blight     0.130435  0.063830  0.085714   47.000000
Septoria Leaf Spot       0.750000  0.117647  0.203390   51.000000
Yellow Leaf Curl Virus   0.200000  0.096154  0.129870   52.000000
accuracy                 0.321267  0.321267  0.321267    0.321267
macro avg                0.345238  0.322390  0.295728  442.000000
weighted avg             0.347155  0.321267  0.295022  442.000000
