,precision,recall,f1-score,support
Bacterial Spot,0.36923076923076925,0.5581395348837209,0.4444444444444444,43.0
Cercospora Leaf Spot,0.22807017543859648,0.3170731707317073,0.2653061224489796,41.0
Common Rust,0.6274509803921569,0.6666666666666666,0.6464646464646465,48.0
Early Blight,0.5230769230769231,0.7083333333333334,0.6017699115044248,48.0
Healthy,0.6477272727272727,0.59375,0.6195652173913043,96.0
Late Blight,0.38461538461538464,0.2127659574468085,0.273972602739726,47.0
Northern Leaf Blight,0.5882352941176471,0.625,0.6060606060606061,48.0
Septoria Leaf Spot,0.47058823529411764,0.36363636363636365,0.41025641025641024,44.0
Yellow Leaf Curl Virus,0.5185185185185185,0.2857142857142857,0.3684210526315789,49.0
accuracy,0.4956896551724138,0.4956896551724138,0.4956896551724138,0.4956896551724138
macro avg,0.4841681726012651,0.48123103471254286,0.47069566821579123,464.0
weighted avg,0.5065958292524961,0.4956896551724138,0.4902019759342792,464.0
