                        precision    recall  f1-score    support
Bacterial Spot           0.369231  0.558140  0.444444   43.00000
Cercospora Leaf Spot     0.228070  0.317073  0.265306   41.00000
Common Rust              0.627451  0.666667  0.646465   48.00000
Early Blight             0.523077  0.708333  0.601770   48.00000
Healthy                  0.647727  0.593750  0.619565   96.00000
Late Blight              0.384615  0.212766  0.273973   47.00000
Northern Leaf Blight     0.588235  0.625000  0.606061   48.00000
Septoria Leaf Spot       0.470588  0.363636  0.410256   44.00000
Yellow Leaf Curl Virus   0.518519  0.285714  0.368421   49.00000
accuracy                 0.495690  0.495690  0.495690    0.49569
macro avg                0.484168  0.481231  0.470696  464.00000
weighted avg             0.506596  0.495690  0.490202  464.00000
