,precision,recall,f1-score,support
Bacterial Spot,0.8269230769230769,0.86,0.8431372549019608,50.0
Cercospora Leaf Spot,0.9318181818181818,0.8541666666666666,0.8913043478260869,48.0
Common Rust,0.9574468085106383,0.9375,0.9473684210526315,48.0
Early Blight,0.9148936170212766,0.8775510204081632,0.8958333333333334,49.0
Healthy,0.9387755102040817,0.9583333333333334,0.9484536082474226,48.0
Late Blight,0.9607843137254902,1.0,0.98,49.0
Northern Leaf Blight,0.8235294117647058,0.8936170212765957,0.8571428571428571,47.0
Septoria Leaf Spot,0.9375,0.8823529411764706,0.9090909090909091,51.0
Yellow Leaf Curl Virus,0.9433962264150944,0.9615384615384616,0.9523809523809523,52.0
accuracy,0.9140271493212669,0.9140271493212669,0.9140271493212669,0.9140271493212669
macro avg,0.9150074607091718,0.9138954938221878,0.9138568537751282,442.0
weighted avg,0.9153287389250019,0.9140271493212669,0.9140903220670731,442.0
