,precision,recall,f1-score,support
Bacterial Spot,1.0,1.0,1.0,43.0
Cercospora Leaf Spot,1.0,0.9024390243902439,0.9487179487179487,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,1.0,1.0,1.0,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,1.0,1.0,1.0,47.0
Northern Leaf Blight,0.9230769230769231,1.0,0.96,48.0
Septoria Leaf Spot,1.0,1.0,1.0,44.0
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0
accuracy,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.9913793103448276
macro avg,0.9914529914529915,0.9891598915989159,0.9898575498575499,464.0
weighted avg,0.9920424403183025,0.9913793103448276,0.9913306808134394,464.0
