,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.3208955223880597,0.8958333333333334,0.4725274725274725,48.0
Common Rust,0.42857142857142855,0.0625,0.10909090909090909,48.0
Early Blight,0.3382352941176471,0.46938775510204084,0.39316239316239315,49.0
Healthy,0.39344262295081966,0.5,0.44036697247706424,48.0
Late Blight,0.4626865671641791,0.6326530612244898,0.5344827586206896,49.0
Northern Leaf Blight,0.3125,0.2127659574468085,0.25316455696202533,47.0
Septoria Leaf Spot,0.32727272727272727,0.35294117647058826,0.33962264150943394,51.0
Yellow Leaf Curl Virus,0.8888888888888888,0.3076923076923077,0.45714285714285713,52.0
accuracy,0.38009049773755654,0.38009049773755654,0.38009049773755654,0.38009049773755654
macro avg,0.3858325612615278,0.3815303990299521,0.3332845068325383,442.0
weighted avg,0.38847389607157373,0.38009049773755654,0.33371227805334247,442.0
