                        precision    recall  f1-score     support
Bacterial Spot           0.000000  0.000000  0.000000   50.000000
Cercospora Leaf Spot     0.318519  0.895833  0.469945   48.000000
Common Rust              0.428571  0.062500  0.109091   48.000000
Early Blight             0.338235  0.469388  0.393162   49.000000
Healthy                  0.393443  0.500000  0.440367   48.000000
Late Blight              0.462687  0.632653  0.534483   49.000000
Northern Leaf Blight     0.312500  0.208333  0.250000   48.000000
Septoria Leaf Spot       0.327273  0.352941  0.339623   51.000000
Yellow Leaf Curl Virus   0.888889  0.307692  0.457143   52.000000
accuracy                 0.379233  0.379233  0.379233    0.379233
macro avg                0.385568  0.381038  0.332646  443.000000
weighted avg             0.388045  0.379233  0.332908  443.000000
