,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.296,0.7708333333333334,0.4277456647398844,48.0
Common Rust,0.42857142857142855,0.0625,0.10909090909090909,48.0
Early Blight,0.34328358208955223,0.46938775510204084,0.39655172413793105,49.0
Healthy,0.3404255319148936,0.6666666666666666,0.4507042253521127,48.0
Late Blight,0.4827586206896552,0.5714285714285714,0.5233644859813084,49.0
Northern Leaf Blight,0.2962962962962963,0.1702127659574468,0.21621621621621623,47.0
Septoria Leaf Spot,0.3137254901960784,0.3137254901960784,0.3137254901960784,51.0
Yellow Leaf Curl Virus,1.0,0.25,0.4,52.0
accuracy,0.36199095022624433,0.36199095022624433,0.36199095022624433,0.36199095022624433
macro avg,0.3890067721953227,0.3638616202982375,0.3152665239682711,442.0
weighted avg,0.39258336643767094,0.36199095022624433,0.31547514664883347,442.0
