,precision,recall,f1-score,support
Bacterial Spot,0.7222222222222222,0.52,0.6046511627906976,50.0
Cercospora Leaf Spot,0.4782608695652174,0.9166666666666666,0.6285714285714286,48.0
Common Rust,0.7,0.4375,0.5384615384615384,48.0
Early Blight,0.6585365853658537,0.5510204081632653,0.6,49.0
Healthy,0.5925925925925926,0.6666666666666666,0.6274509803921569,48.0
Late Blight,0.603448275862069,0.7142857142857143,0.6542056074766355,49.0
Northern Leaf Blight,0.5,0.3958333333333333,0.4418604651162791,48.0
Septoria Leaf Spot,0.6111111111111112,0.6470588235294118,0.6285714285714286,51.0
Yellow Leaf Curl Virus,0.9,0.6923076923076923,0.782608695652174,52.0
accuracy,0.6162528216704289,0.6162528216704289,0.6162528216704289,0.6162528216704289
macro avg,0.6406857396354518,0.6157043672169723,0.6118201452258154,443.0
weighted avg,0.6431512464142685,0.6162528216704289,0.613512324467118,443.0
