                        precision    recall  f1-score     support
Bacterial Spot           0.722222  0.520000  0.604651   50.000000
Cercospora Leaf Spot     0.478261  0.916667  0.628571   48.000000
Common Rust              0.700000  0.437500  0.538462   48.000000
Early Blight             0.658537  0.551020  0.600000   49.000000
Healthy                  0.592593  0.666667  0.627451   48.000000
Late Blight              0.603448  0.714286  0.654206   49.000000
Northern Leaf Blight     0.500000  0.395833  0.441860   48.000000
Septoria Leaf Spot       0.611111  0.647059  0.628571   51.000000
Yellow Leaf Curl Virus   0.900000  0.692308  0.782609   52.000000
accuracy                 0.616253  0.616253  0.616253    0.616253
macro avg                0.640686  0.615704  0.611820  443.000000
weighted avg             0.643151  0.616253  0.613512  443.000000
