,precision,recall,f1-score,support
Bacterial Spot,0.7222222222222222,0.52,0.6046511627906976,50.0
Cercospora Leaf Spot,0.4835164835164835,0.9166666666666666,0.6330935251798561,48.0
Common Rust,0.7,0.4375,0.5384615384615384,48.0
Early Blight,0.6585365853658537,0.5510204081632653,0.6,49.0
Healthy,0.5925925925925926,0.6666666666666666,0.6274509803921569,48.0
Late Blight,0.603448275862069,0.7142857142857143,0.6542056074766355,49.0
Northern Leaf Blight,0.5,0.40425531914893614,0.4470588235294118,47.0
Septoria Leaf Spot,0.6111111111111112,0.6470588235294118,0.6285714285714286,51.0
Yellow Leaf Curl Virus,0.9,0.6923076923076923,0.782608695652174,52.0
accuracy,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294
macro avg,0.6412696967411481,0.6166401434187059,0.6129001957837664,442.0
weighted avg,0.644045863418963,0.6176470588235294,0.6149445311231645,442.0
