,precision,recall,f1-score,support
Bacterial Spot,1.0,1.0,1.0,43.0
Cercospora Leaf Spot,1.0,0.6341463414634146,0.7761194029850746,41.0
Common Rust,0.8867924528301887,0.9791666666666666,0.9306930693069307,48.0
Early Blight,0.9230769230769231,1.0,0.96,48.0
Healthy,1.0,0.96875,0.9841269841269841,96.0
Late Blight,1.0,1.0,1.0,47.0
Northern Leaf Blight,0.8703703703703703,0.9791666666666666,0.9215686274509803,48.0
Septoria Leaf Spot,0.9318181818181818,0.9318181818181818,0.9318181818181818,44.0
Yellow Leaf Curl Virus,0.9423076923076923,1.0,0.9702970297029703,49.0
accuracy,0.9504310344827587,0.9504310344827587,0.9504310344827587,0.9504310344827587
macro avg,0.9504850689337062,0.9436719840683254,0.9416248105990136,464.0
weighted avg,0.9543633291905087,0.9504310344827587,0.9479099178844911,464.0
