Classification Report for resnet50 (augmented) on plantdoc:

                        precision    recall  f1-score     support
Bacterial Spot           0.000000  0.000000  0.000000   50.000000
Cercospora Leaf Spot     0.750000  0.500000  0.600000   48.000000
Common Rust              0.812500  0.541667  0.650000   48.000000
Early Blight             0.376471  0.653061  0.477612   49.000000
Healthy                  0.317460  0.416667  0.360360   48.000000
Late Blight              0.360465  0.632653  0.459259   49.000000
Northern Leaf Blight     0.519231  0.574468  0.545455   47.000000
Septoria Leaf Spot       0.351351  0.254902  0.295455   51.000000
Yellow Leaf Curl Virus   0.705882  0.692308  0.699029   52.000000
accuracy                 0.472851  0.472851  0.472851    0.472851
macro avg                0.465929  0.473969  0.454130  442.000000
weighted avg             0.464653  0.472851  0.453073  442.000000
