                        precision    recall  f1-score     support
Bacterial Spot           0.000000  0.000000  0.000000   50.000000
Cercospora Leaf Spot     0.750000  0.500000  0.600000   48.000000
Common Rust              0.812500  0.541667  0.650000   48.000000
Early Blight             0.376471  0.653061  0.477612   49.000000
Healthy                  0.312500  0.416667  0.357143   48.000000
Late Blight              0.360465  0.632653  0.459259   49.000000
Northern Leaf Blight     0.519231  0.562500  0.540000   48.000000
Septoria Leaf Spot       0.351351  0.254902  0.295455   51.000000
Yellow Leaf Curl Virus   0.705882  0.692308  0.699029   52.000000
accuracy                 0.471783  0.471783  0.471783    0.471783
macro avg                0.465378  0.472640  0.453166  443.000000
weighted avg             0.464239  0.471783  0.452341  443.000000
