Classification Report for resnet50 (augmented) on plantvillage:

                        precision    recall  f1-score     support
Bacterial Spot           0.977273  1.000000  0.988506   43.000000
Cercospora Leaf Spot     0.945946  0.853659  0.897436   41.000000
Common Rust              0.958333  0.958333  0.958333   48.000000
Early Blight             0.979167  0.979167  0.979167   48.000000
Healthy                  0.979592  1.000000  0.989691   96.000000
Late Blight              0.901961  0.978723  0.938776   47.000000
Northern Leaf Blight     0.895833  0.895833  0.895833   48.000000
Septoria Leaf Spot       1.000000  0.954545  0.976744   44.000000
Yellow Leaf Curl Virus   1.000000  0.979592  0.989691   49.000000
accuracy                 0.961207  0.961207  0.961207    0.961207
macro avg                0.959789  0.955539  0.957131  464.000000
weighted avg             0.961723  0.961207  0.961002  464.000000
