,precision,recall,f1-score,support
Bacterial Spot,0.9772727272727273,1.0,0.9885057471264368,43.0
Cercospora Leaf Spot,0.9459459459459459,0.8536585365853658,0.8974358974358975,41.0
Common Rust,0.9583333333333334,0.9583333333333334,0.9583333333333334,48.0
Early Blight,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
Healthy,0.9795918367346939,1.0,0.9896907216494846,96.0
Late Blight,0.9019607843137255,0.9787234042553191,0.9387755102040817,47.0
Northern Leaf Blight,0.8958333333333334,0.8958333333333334,0.8958333333333334,48.0
Septoria Leaf Spot,1.0,0.9545454545454546,0.9767441860465116,44.0
Yellow Leaf Curl Virus,1.0,0.9795918367346939,0.9896907216494846,49.0
accuracy,0.9612068965517241,0.9612068965517241,0.9612068965517241,0.9612068965517241
macro avg,0.9597894030667141,0.9555391739393517,0.9571306797161365,464.0
weighted avg,0.9617230263917818,0.9612068965517241,0.9610020834614702,464.0
