,precision,recall,f1-score,support
Bacterial Spot,0.75,0.06,0.1111111111111111,50.0
Cercospora Leaf Spot,0.3977272727272727,0.7291666666666666,0.5147058823529411,48.0
Common Rust,0.75,0.1875,0.3,48.0
Early Blight,0.1926605504587156,0.8571428571428571,0.3146067415730337,49.0
Healthy,0.0,0.0,0.0,48.0
Late Blight,0.575,0.46938775510204084,0.5168539325842697,49.0
Northern Leaf Blight,0.2692307692307692,0.14583333333333334,0.1891891891891892,48.0
Septoria Leaf Spot,0.23076923076923078,0.23529411764705882,0.23300970873786409,51.0
Yellow Leaf Curl Virus,1.0,0.019230769230769232,0.03773584905660377,52.0
accuracy,0.2979683972911964,0.2979683972911964,0.2979683972911964,0.2979683972911964
macro avg,0.4628208692428876,0.30039505545808065,0.24635693495611255,443.0
weighted avg,0.46703969245077614,0.2979683972911964,0.2445369104285782,443.0
