                        precision    recall  f1-score     support
Bacterial Spot           0.750000  0.060000  0.111111   50.000000
Cercospora Leaf Spot     0.397727  0.729167  0.514706   48.000000
Common Rust              0.750000  0.187500  0.300000   48.000000
Early Blight             0.192661  0.857143  0.314607   49.000000
Healthy                  0.000000  0.000000  0.000000   48.000000
Late Blight              0.575000  0.469388  0.516854   49.000000
Northern Leaf Blight     0.269231  0.145833  0.189189   48.000000
Septoria Leaf Spot       0.230769  0.235294  0.233010   51.000000
Yellow Leaf Curl Virus   1.000000  0.019231  0.037736   52.000000
accuracy                 0.297968  0.297968  0.297968    0.297968
macro avg                0.462821  0.300395  0.246357  443.000000
weighted avg             0.467040  0.297968  0.244537  443.000000
