,precision,recall,f1-score,support
Bacterial Spot,0.75,0.06,0.1111111111111111,50.0
Cercospora Leaf Spot,0.3977272727272727,0.7291666666666666,0.5147058823529411,48.0
Common Rust,0.75,0.1875,0.3,48.0
Early Blight,0.1935483870967742,0.8571428571428571,0.3157894736842105,49.0
Healthy,0.0,0.0,0.0,48.0
Late Blight,0.575,0.46938775510204084,0.5168539325842697,49.0
Northern Leaf Blight,0.2692307692307692,0.14893617021276595,0.1917808219178082,47.0
Septoria Leaf Spot,0.23076923076923078,0.23529411764705882,0.23300970873786409,51.0
Yellow Leaf Curl Virus,1.0,0.019230769230769232,0.03773584905660377,52.0
accuracy,0.2986425339366516,0.2986425339366516,0.2986425339366516,0.2986425339366516
macro avg,0.46291951775822743,0.30073981511135095,0.24677630882720095,442.0
weighted avg,0.46758564927992746,0.2986425339366516,0.24506882973385452,442.0
