Classification Report for resnet50 on plantvillage (base_model):

                        precision    recall  f1-score     support
Bacterial Spot           1.000000  1.000000  1.000000   43.000000
Cercospora Leaf Spot     0.975610  0.975610  0.975610   41.000000
Common Rust              1.000000  1.000000  1.000000   48.000000
Early Blight             1.000000  0.979167  0.989474   48.000000
Healthy                  1.000000  1.000000  1.000000   96.000000
Late Blight              0.979167  1.000000  0.989474   47.000000
Northern Leaf Blight     0.979167  0.979167  0.979167   48.000000
Septoria Leaf Spot       1.000000  1.000000  1.000000   44.000000
Yellow Leaf Curl Virus   1.000000  1.000000  1.000000   49.000000
accuracy                 0.993534  0.993534  0.993534    0.993534
macro avg                0.992660  0.992660  0.992636  464.000000
weighted avg             0.993579  0.993534  0.993534  464.000000
