                        precision    recall  f1-score     support
Bacterial Spot           0.750000  0.060000  0.111111   50.000000
Cercospora Leaf Spot     0.378049  0.645833  0.476923   48.000000
Common Rust              0.750000  0.187500  0.300000   48.000000
Early Blight             0.213904  0.816327  0.338983   49.000000
Healthy                  0.392157  0.416667  0.404040   48.000000
Late Blight              0.687500  0.448980  0.543210   49.000000
Northern Leaf Blight     0.240000  0.127660  0.166667   47.000000
Septoria Leaf Spot       0.250000  0.235294  0.242424   51.000000
Yellow Leaf Curl Virus   1.000000  0.019231  0.037736   52.000000
accuracy                 0.325792  0.325792  0.325792    0.325792
macro avg                0.517957  0.328610  0.291233  442.000000
weighted avg             0.521875  0.325792  0.288752  442.000000
