,precision,recall,f1-score,support
Bacterial Spot,1.0,0.7906976744186046,0.8831168831168831,43.0
Cercospora Leaf Spot,0.975,0.9512195121951219,0.9629629629629629,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,1.0,0.9375,0.967741935483871,48.0
Healthy,0.7559055118110236,1.0,0.8609865470852018,96.0
Late Blight,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
Northern Leaf Blight,0.9777777777777777,0.9166666666666666,0.946236559139785,48.0
Septoria Leaf Spot,1.0,0.8863636363636364,0.9397590361445783,44.0
Yellow Leaf Curl Virus,1.0,0.7959183673469388,0.8863636363636364,49.0
accuracy,0.9267241379310345,0.9267241379310345,0.9267241379310345,0.9267241379310345
macro avg,0.9652674104271246,0.9174543623606985,0.9362101071724709,464.0
weighted avg,0.9428346173861887,0.9267241379310345,0.9283672402797456,464.0
