                        precision    recall  f1-score     support
Bacterial Spot           1.000000  0.790698  0.883117   43.000000
Cercospora Leaf Spot     0.975000  0.951220  0.962963   41.000000
Common Rust              1.000000  1.000000  1.000000   48.000000
Early Blight             1.000000  0.937500  0.967742   48.000000
Healthy                  0.755906  1.000000  0.860987   96.000000
Late Blight              0.978723  0.978723  0.978723   47.000000
Northern Leaf Blight     0.977778  0.916667  0.946237   48.000000
Septoria Leaf Spot       1.000000  0.886364  0.939759   44.000000
Yellow Leaf Curl Virus   1.000000  0.795918  0.886364   49.000000
accuracy                 0.926724  0.926724  0.926724    0.926724
macro avg                0.965267  0.917454  0.936210  464.000000
weighted avg             0.942835  0.926724  0.928367  464.000000
