,precision,recall,f1-score,support
Bacterial Spot,0.6744186046511628,0.58,0.6236559139784946,50.0
Cercospora Leaf Spot,0.5,0.75,0.6,48.0
Common Rust,0.7666666666666667,0.4791666666666667,0.5897435897435898,48.0
Early Blight,0.625,0.8163265306122449,0.7079646017699115,49.0
Healthy,0.5652173913043478,0.5416666666666666,0.5531914893617021,48.0
Late Blight,0.6226415094339622,0.673469387755102,0.6470588235294118,49.0
Northern Leaf Blight,0.42857142857142855,0.25,0.3157894736842105,48.0
Septoria Leaf Spot,0.5373134328358209,0.7058823529411765,0.6101694915254238,51.0
Yellow Leaf Curl Virus,0.475,0.36538461538461536,0.41304347826086957,52.0
accuracy,0.5733634311512416,0.5733634311512416,0.5733634311512416,0.5733634311512416
macro avg,0.5772032259403765,0.5735440244473858,0.5622907624281792,443.0
weighted avg,0.576659622174913,0.5733634311512416,0.5620646207897281,443.0
