                        precision    recall  f1-score     support
Bacterial Spot           0.674419  0.580000  0.623656   50.000000
Cercospora Leaf Spot     0.500000  0.750000  0.600000   48.000000
Common Rust              0.766667  0.479167  0.589744   48.000000
Early Blight             0.625000  0.816327  0.707965   49.000000
Healthy                  0.565217  0.541667  0.553191   48.000000
Late Blight              0.622642  0.673469  0.647059   49.000000
Northern Leaf Blight     0.428571  0.250000  0.315789   48.000000
Septoria Leaf Spot       0.537313  0.705882  0.610169   51.000000
Yellow Leaf Curl Virus   0.475000  0.365385  0.413043   52.000000
accuracy                 0.573363  0.573363  0.573363    0.573363
macro avg                0.577203  0.573544  0.562291  443.000000
weighted avg             0.576660  0.573363  0.562065  443.000000
