,precision,recall,f1-score,support
Bacterial Spot,0.6744186046511628,0.58,0.6236559139784946,50.0
Cercospora Leaf Spot,0.5,0.75,0.6,48.0
Common Rust,0.7666666666666667,0.4791666666666667,0.5897435897435898,48.0
Early Blight,0.6349206349206349,0.8163265306122449,0.7142857142857143,49.0
Healthy,0.5652173913043478,0.5416666666666666,0.5531914893617021,48.0
Late Blight,0.6226415094339622,0.673469387755102,0.6470588235294118,49.0
Northern Leaf Blight,0.42857142857142855,0.2553191489361702,0.32,47.0
Septoria Leaf Spot,0.5373134328358209,0.7058823529411765,0.6101694915254238,51.0
Yellow Leaf Curl Virus,0.475,0.36538461538461536,0.41304347826086957,52.0
accuracy,0.5746606334841629,0.5746606334841629,0.5746606334841629,0.5746606334841629
macro avg,0.5783055187093359,0.5741350409958491,0.5634609445205784,442.0
weighted avg,0.5780944622308282,0.5746606334841629,0.5637702868467913,442.0
