                        precision    recall  f1-score     support
Bacterial Spot           0.977273  1.000000  0.988506   43.000000
Cercospora Leaf Spot     1.000000  0.780488  0.876712   41.000000
Common Rust              0.921569  0.979167  0.949495   48.000000
Early Blight             0.937500  0.937500  0.937500   48.000000
Healthy                  1.000000  1.000000  1.000000   96.000000
Late Blight              0.979167  1.000000  0.989474   47.000000
Northern Leaf Blight     0.886792  0.979167  0.930693   48.000000
Septoria Leaf Spot       0.926829  0.863636  0.894118   44.000000
Yellow Leaf Curl Virus   0.960784  1.000000  0.980000   49.000000
accuracy                 0.956897  0.956897  0.956897    0.956897
macro avg                0.954435  0.948884  0.949611  464.000000
weighted avg             0.958413  0.956897  0.955962  464.000000
