,precision,recall,f1-score,support
Bacterial Spot,0.9772727272727273,1.0,0.9885057471264368,43.0
Cercospora Leaf Spot,1.0,0.7804878048780488,0.8767123287671232,41.0
Common Rust,0.9215686274509803,0.9791666666666666,0.9494949494949495,48.0
Early Blight,0.9375,0.9375,0.9375,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,0.9791666666666666,1.0,0.9894736842105263,47.0
Northern Leaf Blight,0.8867924528301887,0.9791666666666666,0.9306930693069307,48.0
Septoria Leaf Spot,0.926829268292683,0.8636363636363636,0.8941176470588236,44.0
Yellow Leaf Curl Virus,0.9607843137254902,1.0,0.98,49.0
accuracy,0.9568965517241379,0.9568965517241379,0.9568965517241379,0.9568965517241379
macro avg,0.9544348951376372,0.9488841668719716,0.9496108251071989,464.0
weighted avg,0.9584133871486719,0.9568965517241379,0.9559621058984097,464.0
