,precision,recall,f1-score,support
Bacterial Spot,0.9142857142857143,0.64,0.7529411764705882,50.0
Cercospora Leaf Spot,0.8148148148148148,0.9166666666666666,0.8627450980392157,48.0
Common Rust,0.9591836734693877,0.9791666666666666,0.9690721649484536,48.0
Early Blight,0.925,0.7551020408163265,0.8314606741573034,49.0
Healthy,0.9591836734693877,0.9791666666666666,0.9690721649484536,48.0
Late Blight,0.8392857142857143,0.9591836734693877,0.8952380952380953,49.0
Northern Leaf Blight,0.8809523809523809,0.7872340425531915,0.8314606741573034,47.0
Septoria Leaf Spot,0.7205882352941176,0.9607843137254902,0.8235294117647058,51.0
Yellow Leaf Curl Virus,0.9795918367346939,0.9230769230769231,0.9504950495049505,52.0
accuracy,0.8778280542986425,0.8778280542986425,0.8778280542986425,0.8778280542986425
macro avg,0.8880984492562457,0.877820110404591,0.8762238343587856,442.0
weighted avg,0.8878972101661177,0.8778280542986425,0.87602349620925,442.0
