,precision,recall,f1-score,support
Bacterial Spot,1.0,1.0,1.0,43.0
Cercospora Leaf Spot,0.9302325581395349,0.975609756097561,0.9523809523809523,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,1.0,0.9791666666666666,0.9894736842105263,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,0.9791666666666666,1.0,0.9894736842105263,47.0
Northern Leaf Blight,0.9782608695652174,0.9375,0.9574468085106383,48.0
Septoria Leaf Spot,1.0,1.0,1.0,44.0
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0
accuracy,0.9892241379310345,0.9892241379310345,0.9892241379310345,0.9892241379310345
macro avg,0.987517788263491,0.9880307136404698,0.9876416810347382,464.0
weighted avg,0.9894760559400532,0.9892241379310345,0.9892350557244175,464.0
