Report for swin_transformer (augmented) on plantvillage:

                        precision    recall  f1-score     support
Bacterial Spot           1.000000  1.000000  1.000000   43.000000
Cercospora Leaf Spot     0.930233  0.975610  0.952381   41.000000
Common Rust              1.000000  1.000000  1.000000   48.000000
Early Blight             1.000000  0.979167  0.989474   48.000000
Healthy                  1.000000  1.000000  1.000000   96.000000
Late Blight              0.979167  1.000000  0.989474   47.000000
Northern Leaf Blight     0.978261  0.937500  0.957447   48.000000
Septoria Leaf Spot       1.000000  1.000000  1.000000   44.000000
Yellow Leaf Curl Virus   1.000000  1.000000  1.000000   49.000000
accuracy                 0.989224  0.989224  0.989224    0.989224
macro avg                0.987518  0.988031  0.987642  464.000000
weighted avg             0.989476  0.989224  0.989235  464.000000
