,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.43023255813953487,0.7708333333333334,0.5522388059701493,48.0
Common Rust,0.6363636363636364,0.2916666666666667,0.4,48.0
Early Blight,0.2549019607843137,0.7959183673469388,0.38613861386138615,49.0
Healthy,0.4186046511627907,0.375,0.3956043956043956,48.0
Late Blight,0.5081967213114754,0.6326530612244898,0.5636363636363636,49.0
Northern Leaf Blight,0.5714285714285714,0.1702127659574468,0.26229508196721313,47.0
Septoria Leaf Spot,0.25,0.27450980392156865,0.2616822429906542,51.0
Yellow Leaf Curl Virus,1.0,0.1346153846153846,0.23728813559322035,52.0
accuracy,0.38009049773755654,0.38009049773755654,0.38009049773755654,0.38009049773755654
macro avg,0.4521920110211469,0.3828232647850921,0.33987595995815356,442.0
weighted avg,0.4531416716556622,0.38009049773755654,0.33766537074388625,442.0
