,precision,recall,f1-score,support
Bacterial Spot,0.9772727272727273,1.0,0.9885057471264368,43.0
Cercospora Leaf Spot,1.0,1.0,1.0,41.0
Common Rust,1.0,1.0,1.0,48.0
Early Blight,1.0,1.0,1.0,48.0
Healthy,1.0,1.0,1.0,96.0
Late Blight,1.0,1.0,1.0,47.0
Northern Leaf Blight,1.0,1.0,1.0,48.0
Septoria Leaf Spot,1.0,0.9772727272727273,0.9885057471264368,44.0
Yellow Leaf Curl Virus,1.0,1.0,1.0,49.0
accuracy,0.9978448275862069,0.9978448275862069,0.9978448275862069,0.9978448275862069
macro avg,0.9974747474747474,0.9974747474747474,0.9974457215836527,464.0
weighted avg,0.9978938087774294,0.9978448275862069,0.9978448275862069,464.0
