                        precision    recall  f1-score     support
Bacterial Spot           0.977273  1.000000  0.988506   43.000000
Cercospora Leaf Spot     1.000000  1.000000  1.000000   41.000000
Common Rust              1.000000  1.000000  1.000000   48.000000
Early Blight             1.000000  1.000000  1.000000   48.000000
Healthy                  1.000000  1.000000  1.000000   96.000000
Late Blight              1.000000  1.000000  1.000000   47.000000
Northern Leaf Blight     1.000000  1.000000  1.000000   48.000000
Septoria Leaf Spot       1.000000  0.977273  0.988506   44.000000
Yellow Leaf Curl Virus   1.000000  1.000000  1.000000   49.000000
accuracy                 0.997845  0.997845  0.997845    0.997845
macro avg                0.997475  0.997475  0.997446  464.000000
weighted avg             0.997894  0.997845  0.997845  464.000000
