,precision,recall,f1-score,support
Bacterial Spot,0.0,0.0,0.0,50.0
Cercospora Leaf Spot,0.3974358974358974,0.6458333333333334,0.49206349206349204,48.0
Common Rust,0.6190476190476191,0.2708333333333333,0.37681159420289856,48.0
Early Blight,0.2733812949640288,0.7755102040816326,0.40425531914893614,49.0
Healthy,0.35365853658536583,0.6041666666666666,0.4461538461538462,48.0
Late Blight,0.5686274509803921,0.5918367346938775,0.58,49.0
Northern Leaf Blight,0.5833333333333334,0.14893617021276595,0.23728813559322035,47.0
Septoria Leaf Spot,0.24528301886792453,0.2549019607843137,0.25,51.0
Yellow Leaf Curl Virus,1.0,0.11538461538461539,0.20689655172413793,52.0
accuracy,0.3755656108597285,0.3755656108597285,0.3755656108597285,0.3755656108597285
macro avg,0.44897412791272906,0.3786003353878376,0.33260765987628127,442.0
weighted avg,0.4501161713292167,0.3755656108597285,0.33034177026471895,442.0
