                        precision    recall  f1-score     support
Bacterial Spot           0.000000  0.000000  0.000000   50.000000
Cercospora Leaf Spot     0.397436  0.645833  0.492063   48.000000
Common Rust              0.619048  0.270833  0.376812   48.000000
Early Blight             0.273381  0.775510  0.404255   49.000000
Healthy                  0.353659  0.604167  0.446154   48.000000
Late Blight              0.568627  0.591837  0.580000   49.000000
Northern Leaf Blight     0.583333  0.148936  0.237288   47.000000
Septoria Leaf Spot       0.245283  0.254902  0.250000   51.000000
Yellow Leaf Curl Virus   1.000000  0.115385  0.206897   52.000000
accuracy                 0.375566  0.375566  0.375566    0.375566
macro avg                0.448974  0.378600  0.332608  442.000000
weighted avg             0.450116  0.375566  0.330342  442.000000
